invest_quarter,strategy,num_tickers,js_divergence,results_dir,log_dir,scenario_file,tickers,error
2021Q4,all,22,0.1214,N/A,logging/runs/default/run_2026-03-06_17-15-19,config/scenarios/baseline_sweep/scenario_2021Q4.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,DE,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,PG,SLB,TSLA,UNH,WMT,XOM",
2022Q1,all,21,0.1987,N/A,logging/runs/default/run_2026-03-06_17-16-26,config/scenarios/baseline_sweep/scenario_2022Q1.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,DE,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,PG,TSLA,UNH,WMT,XOM",
2022Q2,all,24,0.0700,N/A,logging/runs/default/run_2026-03-06_17-17-29,config/scenarios/baseline_sweep/scenario_2022Q2.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,DAL,DE,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,OXY,PG,RTX,TSLA,UNH,WMT,XOM",
2022Q3,all,22,0.0571,N/A,logging/runs/default/run_2026-03-06_17-18-57,config/scenarios/baseline_sweep/scenario_2022Q3.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,DAL,GS,JNJ,JPM,MS,MSFT,NVDA,PG,RTX,SLB,TSLA,UNH,WMT,XOM",
2022Q4,all,21,0.0897,N/A,logging/runs/default/run_2026-03-06_17-20-35,config/scenarios/baseline_sweep/scenario_2022Q4.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,GS,JNJ,JPM,MS,MSFT,NVDA,PG,RTX,SLB,TSLA,UNH,WMT,XOM",
2023Q1,all,22,0.1103,N/A,logging/runs/default/run_2026-03-06_17-21-36,config/scenarios/baseline_sweep/scenario_2023Q1.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,PG,RTX,SLB,TSLA,UNH,WMT,XOM",
2023Q2,all,22,0.1249,N/A,logging/runs/default/run_2026-03-06_17-23-46,config/scenarios/baseline_sweep/scenario_2023Q2.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,PG,RTX,SLB,TSLA,UNH,WMT,XOM",
2023Q3,all,22,0.0653,N/A,logging/runs/default/run_2026-03-06_17-24-50,config/scenarios/baseline_sweep/scenario_2023Q3.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,GS,JNJ,JPM,MS,MSFT,NKE,NVDA,PG,RTX,SLB,TSLA,UNH,WMT,XOM",
2023Q4,all,19,0.0336,N/A,logging/runs/default/run_2026-03-06_17-26-03,config/scenarios/baseline_sweep/scenario_2023Q4.yaml,"AAPL,AMD,AMZN,BAC,CAT,COP,COST,CVX,GS,JPM,MSFT,NKE,NVDA,PG,RTX,TSLA,UNH,WMT,XOM",
2024Q1,all,21,0.0653,N/A,logging/runs/default/run_2026-03-06_17-27-26,config/scenarios/baseline_sweep/scenario_2024Q1.yaml,"AAPL,AMD,AMZN,AVGO,BAC,CAT,COP,COST,CVX,GS,JPM,LLY,MSFT,NKE,NVDA,PG,RTX,TSLA,UNH,WMT,XOM",
