scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro,logging/runs/default/run_2026-03-08_15-19-55,3eb693aed60e441e,182.95,2026-03-08T22:22:54.085948+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_001,logging/runs/default/run_2026-03-08_15-22-59,3eb693aed60e441e,233.07,2026-03-08T22:26:47.162659+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_002,logging/runs/default/run_2026-03-08_15-26-51,3eb693aed60e441e,250.31,2026-03-08T22:30:57.475377+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_003,logging/runs/default/run_2026-03-08_15-31-01,3eb693aed60e441e,303.9,2026-03-08T22:36:01.378637+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_004,logging/runs/default/run_2026-03-08_15-36-05,3eb693aed60e441e,242.4,2026-03-08T22:40:03.781920+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_005,logging/runs/default/run_2026-03-08_15-40-08,3eb693aed60e441e,253.37,2026-03-08T22:44:17.153841+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_006,logging/runs/default/run_2026-03-08_15-44-21,3eb693aed60e441e,266.0,2026-03-08T22:50:32.812772+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_008,logging/runs/default/run_2026-03-08_16-10-36,3eb693aed60e441e,187.39,2026-03-08T23:13:40.422884+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_009,logging/runs/default/run_2026-03-08_16-13-45,3eb693aed60e441e,342.78,2026-03-08T23:19:23.209224+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/debate_1_round_no_macro/debate_1_round_no_macro_010,logging/runs/default/run_2026-03-08_16-19-27,3eb693aed60e441e,316.38,2026-03-08T23:24:39.646969+00:00,
