scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/industry_js_100/tech_2021Q4_core5.yaml,1c18fe7952138b32,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-09-33,43f0fb364a3f4134,203.97,2026-06-11T07:12:55.336166+00:00,
config/scenarios/industry_js_100/tech_2022Q1_mega_ai4.yaml,f7116bbdf2847abc,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q1_mega_ai4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-33-21_001,43f0fb364a3f4134,215.42,2026-06-11T07:36:54.581728+00:00,
config/scenarios/industry_js_100/tech_2022Q2_semis_cloud4.yaml,b1fc78d89fb2520f,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q2_semis_cloud4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-33-21_002,43f0fb364a3f4134,201.64,2026-06-11T07:36:40.802965+00:00,
config/scenarios/industry_js_100/tech_2022Q3_apple_semis4.yaml,4e868a5e5f2a6d58,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q3_apple_semis4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-33-21,43f0fb364a3f4134,204.3,2026-06-11T07:36:43.466196+00:00,
config/scenarios/industry_js_100/tech_2022Q4_platforms3.yaml,e83feb341048b97d,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q4_platforms3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-36-42,43f0fb364a3f4134,216.35,2026-06-11T07:40:17.155446+00:00,
config/scenarios/industry_js_100/tech_2023Q1_semis3.yaml,d6f2d2d6d778593a,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2023Q1_semis3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-36-44,43f0fb364a3f4134,198.77,2026-06-11T07:40:02.233280+00:00,
config/scenarios/industry_js_100/tech_2023Q2_balanced3.yaml,8b44df3747bebc79,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2023Q2_balanced3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-36-56,43f0fb364a3f4134,215.82,2026-06-11T07:40:30.405093+00:00,
config/scenarios/industry_js_100/tech_2023Q3_compute3.yaml,3dac8c9de0cee6d8,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2023Q3_compute3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-40-03,43f0fb364a3f4134,224.07,2026-06-11T07:43:46.306615+00:00,
config/scenarios/industry_js_100/tech_2023Q4_core5.yaml,d2252a3fd54e3d33,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2023Q4_core5/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-40-18,43f0fb364a3f4134,221.27,2026-06-11T07:43:58.423335+00:00,
config/scenarios/industry_js_100/tech_2024Q1_mega_ai4.yaml,4889cad37e4f8be1,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2024Q1_mega_ai4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-40-31,43f0fb364a3f4134,208.25,2026-06-11T07:43:58.655477+00:00,
config/scenarios/industry_js_100/tech_2025Q1_apple_semis4.yaml,b3d3f58c76689570,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2025Q1_apple_semis4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-43-48,43f0fb364a3f4134,233.15,2026-06-11T07:47:39.454810+00:00,
config/scenarios/industry_js_100/tech_2025Q2_platforms3.yaml,0ea1d653f263442d,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2025Q2_platforms3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-43-59,43f0fb364a3f4134,202.65,2026-06-11T07:47:21.069864+00:00,
config/scenarios/industry_js_100/tech_2025Q3_semis3.yaml,f0cb211d0e0b6a3c,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2025Q3_semis3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-43-59_001,43f0fb364a3f4134,227.55,2026-06-11T07:47:46.208824+00:00,
config/scenarios/industry_js_100/tech_2021Q4_balanced3.yaml,07f849bcbc8699b3,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2021Q4_balanced3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-47-22,43f0fb364a3f4134,210.56,2026-06-11T07:50:51.628451+00:00,
config/scenarios/industry_js_100/tech_2022Q1_compute3.yaml,b4f1535df56eaea2,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q1_compute3/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-47-41,43f0fb364a3f4134,190.34,2026-06-11T07:50:49.797413+00:00,
config/scenarios/industry_js_100/tech_2022Q2_core5.yaml,b97e879c30b6e616,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q2_core5/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-47-47,43f0fb364a3f4134,239.08,2026-06-11T07:51:45.288045+00:00,
config/scenarios/industry_js_100/tech_2022Q3_mega_ai4.yaml,d5b9066783376b92,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q3_mega_ai4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-50-51,43f0fb364a3f4134,191.43,2026-06-11T07:54:01.226877+00:00,
config/scenarios/industry_js_100/tech_2022Q4_semis_cloud4.yaml,20634e430ae2d402,results/scenario_runs/debate_1_round_no_macro_causal_out_industry_100/tech_2022Q4_semis_cloud4/debate_1_round_no_macro_causal_out_industry_100_001,logging/runs/default/run_2026-06-11_00-50-52,43f0fb364a3f4134,197.68,2026-06-11T07:54:09.311162+00:00,
