scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q4_tech/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_17-34-53,a503355d691a8fbc,189.64,2026-03-11T00:37:58.712477+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q1/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_17-34-54,a503355d691a8fbc,260.6,2026-03-11T00:39:09.675010+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q2_rand8_1c8e1d3e/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_17-38-04,a503355d691a8fbc,225.58,2026-03-11T00:41:44.293177+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q4_rand7_5ec96480/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_17-39-14,a503355d691a8fbc,220.95,2026-03-11T00:42:50.625857+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q1_tech/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-41-52,a503355d691a8fbc,324.4,2026-03-11T00:47:08.704799+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q1_rand9_2aba5c03/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-42-55,a503355d691a8fbc,271.71,2026-03-11T00:47:22.348181+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q3_rand3_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-47-36,a503355d691a8fbc,306.57,2026-03-11T00:52:28.925134+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-47-14,a503355d691a8fbc,356.26,2026-03-11T00:53:04.968644+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-52-34,a503355d691a8fbc,360.94,2026-03-11T00:58:29.869048+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2021Q4/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_17-53-11,a503355d691a8fbc,338.59,2026-03-11T00:58:43.562772+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q2_rand3_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-01-23,a503355d691a8fbc,258.31,2026-03-11T01:05:08.796933+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q4_rand7_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-01-23_001,a503355d691a8fbc,365.9,2026-03-11T01:06:56.393926+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q3_rand7_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-11-26,a503355d691a8fbc,317.56,2026-03-11T01:16:41.261013+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q1/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_18-11-26_001,a503355d691a8fbc,697.64,2026-03-11T01:23:01.347329+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q1_rand7_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-16-46,a503355d691a8fbc,506.9,2026-03-11T01:25:08.164587+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_2.yaml,264d4a6fc5c7fa68,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q3_rand7_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-25-15,a503355d691a8fbc,318.68,2026-03-11T01:30:26.846366+00:00,
config/scenarios/baseline_sweep/scenario_2022Q2_rand8_5195513f.yaml,3ecf4d6a2bec151c,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q2_rand8_5195513f/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-25-10,a503355d691a8fbc,537.09,2026-03-11T01:31:58.423240+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand4_d6d02e7e.yaml,d15db0e59979d2b1,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q1_rand4_d6d02e7e/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-32-04,a503355d691a8fbc,326.95,2026-03-11T01:37:25.373285+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2_rand12_1.yaml,0e782098f6020024,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q2_rand12_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-30-32,a503355d691a8fbc,424.92,2026-03-11T01:37:31.746623+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand3_1.yaml,fd0c6c1954688562,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q1_rand3_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-37-36,a503355d691a8fbc,399.13,2026-03-11T01:44:04.502157+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand7_1.yaml,92f5e2fc558c939c,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_18-52-47,a503355d691a8fbc,223.44,2026-03-11T01:56:21.997708+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4.yaml,fc9c100b024b9c4b,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/debate_1_round_no_macro_causal_out_rca_revise_001,logging/runs/default/run_2026-03-10_18-56-27,a503355d691a8fbc,271.69,2026-03-11T02:00:53.668245+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand3_2.yaml,1d93abf6f2bb74a0,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/debate_1_round_no_macro_causal_out_rca_revise_002,logging/runs/default/run_2026-03-10_19-00-59,a503355d691a8fbc,208.86,2026-03-11T02:04:22.531969+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_rand9_b32b0911.yaml,16683f757fabec6d,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/debate_1_round_no_macro_causal_out_rca_revise_003,logging/runs/default/run_2026-03-10_19-04-28,a503355d691a8fbc,224.91,2026-03-11T02:08:54.418057+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand12_1.yaml,acfb13e4145555ae,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q3_rand12_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-12-28_001,a503355d691a8fbc,226.82,2026-03-11T02:16:10.710980+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand12_2.yaml,59281faffda50b31,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q4_rand12_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-12-28,a503355d691a8fbc,310.08,2026-03-11T02:17:33.969057+00:00,
config/scenarios/baseline_sweep/scenario_2025Q3.yaml,fbf82769322c141a,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q3/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-16-16,a503355d691a8fbc,287.6,2026-03-11T02:20:58.309865+00:00,
config/scenarios/baseline_sweep/scenario_2025Q3_rand12_1.yaml,36c0aa55cc1d7161,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q3_rand12_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-17-40,a503355d691a8fbc,279.12,2026-03-11T02:22:13.094154+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_tech.yaml,d98fd71fbd26ecf4,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2022Q1_tech/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-21-04,a503355d691a8fbc,185.7,2026-03-11T02:24:04.014508+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand3_1.yaml,fb69f1d2b2ead36f,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2023Q4_rand3_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-22-18,a503355d691a8fbc,173.15,2026-03-11T02:25:06.246025+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1.yaml,5888ddf2e7906145,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2025Q1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-24-10,a503355d691a8fbc,344.92,2026-03-11T02:29:48.939194+00:00,
config/scenarios/baseline_sweep/scenario_2024Q1_rand12_1.yaml,19ec7848605f5184,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2024Q1_rand12_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-25-11,a503355d691a8fbc,343.29,2026-03-11T02:30:49.538236+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4_rand12_2.yaml,900856bbaf6a8464,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2021Q4_rand12_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-29-55,a503355d691a8fbc,281.59,2026-03-11T02:34:30.536337+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4_rand7_1.yaml,184d99cb5f89faee,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2021Q4_rand7_1/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-30-55,a503355d691a8fbc,264.54,2026-03-11T02:35:14.082164+00:00,
config/scenarios/baseline_sweep/scenario_2024Q1_rand3_2.yaml,c32410c408ed0930,results/scenario_runs/debate_1_round_no_macro_causal_out_rca_revise/scenario_2024Q1_rand3_2/debate_1_round_no_macro_causal_out_rca_revise,logging/runs/default/run_2026-03-10_19-34-36,a503355d691a8fbc,229.84,2026-03-11T02:38:20.366824+00:00,
