scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/single_agent_slim/scenario_2022Q4_tech/single_agent_slim_001,logging/runs/default/run_2026-03-08_20-28-04,54bfb3bf2d76eefa,39.53,2026-03-09T03:28:37.805578+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/single_agent_slim/scenario_2023Q2_rand8_1c8e1d3e/single_agent_slim_002,logging/runs/default/run_2026-03-08_20-28-04,54bfb3bf2d76eefa,40.44,2026-03-09T03:28:38.720576+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/single_agent_slim/scenario_2022Q1/single_agent_slim_002,logging/runs/default/run_2026-03-08_20-28-04,54bfb3bf2d76eefa,50.95,2026-03-09T03:28:49.231573+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/single_agent_slim/scenario_2023Q1_rand9_2aba5c03/single_agent_slim,logging/runs/default/run_2026-03-08_20-31-18,54bfb3bf2d76eefa,46.36,2026-03-09T03:31:58.767444+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/single_agent_slim/scenario_2025Q1_tech/single_agent_slim,logging/runs/default/run_2026-03-08_20-31-18,54bfb3bf2d76eefa,50.94,2026-03-09T03:32:03.342327+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/single_agent_slim/scenario_2022Q4_rand7_5ec96480/single_agent_slim,logging/runs/default/run_2026-03-08_20-31-18,54bfb3bf2d76eefa,76.54,2026-03-09T03:32:28.947655+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/single_agent_slim/scenario_2022Q3_rand3_1/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-03,54bfb3bf2d76eefa,34.86,2026-03-09T03:32:33.632137+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/single_agent_slim/scenario_2023Q2/single_agent_slim,logging/runs/default/run_2026-03-08_20-31-18,54bfb3bf2d76eefa,84.0,2026-03-09T03:32:36.404850+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/single_agent_slim/scenario_2023Q2_rand3_2/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-11,54bfb3bf2d76eefa,37.17,2026-03-09T03:32:40.508501+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/single_agent_slim/scenario_2023Q4_rand7_2/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-41,54bfb3bf2d76eefa,41.08,2026-03-09T03:33:17.485928+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/single_agent_slim/scenario_2021Q4/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-41,54bfb3bf2d76eefa,50.32,2026-03-09T03:33:23.957590+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/single_agent_slim/scenario_2025Q2/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-38,54bfb3bf2d76eefa,78.17,2026-03-09T03:33:47.119687+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/single_agent_slim/scenario_2022Q3_rand7_1/single_agent_slim,logging/runs/default/run_2026-03-08_20-33-22,54bfb3bf2d76eefa,40.15,2026-03-09T03:33:57.637297+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/single_agent_slim/scenario_2023Q1/single_agent_slim,logging/runs/default/run_2026-03-08_20-32-58,54bfb3bf2d76eefa,77.59,2026-03-09T03:33:58.104321+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/single_agent_slim/scenario_2023Q1_rand7_1/single_agent_slim,logging/runs/default/run_2026-03-08_20-33-31,54bfb3bf2d76eefa,42.11,2026-03-09T03:34:06.070445+00:00,
