scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/single_agent_slim/single_agent_slim,logging/runs/default/run_2026-03-08_14-07-06,2ac3e601d562815e,55.76,2026-03-08T21:07:58.497519+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/single_agent_slim/single_agent_slim_001,logging/runs/default/run_2026-03-08_14-08-03,2ac3e601d562815e,63.5,2026-03-08T21:09:01.997257+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/single_agent_slim/single_agent_slim_003,logging/runs/default/run_2026-03-08_14-10-19,2ac3e601d562815e,59.07,2026-03-08T21:11:14.388096+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/single_agent_slim/single_agent_slim_005,logging/runs/default/run_2026-03-08_14-28-10,2ac3e601d562815e,79.57,2026-03-08T21:29:25.548391+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/single_agent_slim/single_agent_slim_007,logging/runs/default/run_2026-03-08_14-30-21,2ac3e601d562815e,72.64,2026-03-08T21:31:30.883124+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/single_agent_slim/single_agent_slim_008,logging/runs/default/run_2026-03-08_14-31-36,2ac3e601d562815e,90.83,2026-03-08T21:33:01.719564+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/single_agent_slim/single_agent_slim_009,logging/runs/default/run_2026-03-08_14-33-06,2ac3e601d562815e,95.31,2026-03-08T21:34:37.035969+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/single_agent_slim/single_agent_slim_010,logging/runs/default/run_2026-03-08_14-34-42,2ac3e601d562815e,69.43,2026-03-08T21:35:46.464064+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/single_agent_slim/single_agent_slim_011,logging/runs/default/run_2026-03-08_14-35-52,2ac3e601d562815e,151.28,2026-03-08T21:38:17.748673+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/single_agent_slim/single_agent_slim_012,logging/runs/default/run_2026-03-08_14-38-23,2ac3e601d562815e,103.35,2026-03-08T21:40:01.105689+00:00,
