scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_16-42-20,74f7de8f2e38e1f4,79.75,2026-03-08T23:43:36.267925+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_001,logging/runs/default/run_2026-03-08_16-43-40,74f7de8f2e38e1f4,71.05,2026-03-08T23:44:47.331052+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_002,logging/runs/default/run_2026-03-08_16-44-52,74f7de8f2e38e1f4,125.82,2026-03-08T23:46:53.149619+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_003,logging/runs/default/run_2026-03-08_16-46-58,74f7de8f2e38e1f4,97.71,2026-03-08T23:48:30.863392+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_004,logging/runs/default/run_2026-03-08_16-48-36,74f7de8f2e38e1f4,80.43,2026-03-08T23:49:51.300726+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_005,logging/runs/default/run_2026-03-08_16-49-56,74f7de8f2e38e1f4,86.36,2026-03-08T23:51:17.666090+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_006,logging/runs/default/run_2026-03-08_16-51-23,74f7de8f2e38e1f4,123.98,2026-03-08T23:53:21.650071+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_007,logging/runs/default/run_2026-03-08_16-53-27,74f7de8f2e38e1f4,85.89,2026-03-08T23:54:47.656838+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_008,logging/runs/default/run_2026-03-08_16-54-53,74f7de8f2e38e1f4,136.37,2026-03-08T23:57:04.031249+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/vote_causal_no_macro_causal_out/vote_causal_no_macro_causal_out_009,logging/runs/default/run_2026-03-08_16-57-09,74f7de8f2e38e1f4,148.39,2026-03-08T23:59:32.445597+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q2_rand3_2/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-08-23,74f7de8f2e38e1f4,50.39,2026-03-09T04:09:06.606612+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q4_rand7_2/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-08-23,74f7de8f2e38e1f4,63.49,2026-03-09T04:09:19.700634+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-09-13,74f7de8f2e38e1f4,66.57,2026-03-09T04:10:13.201943+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q3_rand7_1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-09-25,74f7de8f2e38e1f4,58.32,2026-03-09T04:10:18.027160+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q1_rand7_1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-10-19,74f7de8f2e38e1f4,56.27,2026-03-09T04:11:09.470518+00:00,
config/scenarios/baseline_sweep/scenario_2022Q2_rand8_5195513f.yaml,3ecf4d6a2bec151c,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q2_rand8_5195513f/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-10-20,74f7de8f2e38e1f4,55.15,2026-03-09T04:11:13.180638+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_2.yaml,264d4a6fc5c7fa68,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q3_rand7_2/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-11-21,74f7de8f2e38e1f4,62.11,2026-03-09T04:12:11.586532+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2_rand12_1.yaml,0e782098f6020024,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2025Q2_rand12_1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-11-21,74f7de8f2e38e1f4,64.5,2026-03-09T04:12:17.683864+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand4_d6d02e7e.yaml,d15db0e59979d2b1,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q1_rand4_d6d02e7e/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-12-21,74f7de8f2e38e1f4,51.61,2026-03-09T04:13:09.299906+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand7_1.yaml,92f5e2fc558c939c,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q2_rand7_1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-12-20,74f7de8f2e38e1f4,67.92,2026-03-09T04:13:19.503390+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand3_1.yaml,fd0c6c1954688562,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q1_rand3_1/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-13-16,74f7de8f2e38e1f4,62.59,2026-03-09T04:14:11.953921+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4.yaml,fc9c100b024b9c4b,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2022Q4/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-13-30,74f7de8f2e38e1f4,73.49,2026-03-09T04:14:32.997608+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand3_2.yaml,1d93abf6f2bb74a0,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2023Q1_rand3_2/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-14-18,74f7de8f2e38e1f4,50.96,2026-03-09T04:15:02.914454+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_rand9_b32b0911.yaml,16683f757fabec6d,results/scenario_runs/vote_causal_no_macro_causal_out/scenario_2025Q1_rand9_b32b0911/vote_causal_no_macro_causal_out,logging/runs/default/run_2026-03-08_21-14-39,74f7de8f2e38e1f4,57.78,2026-03-09T04:15:30.779679+00:00,
