scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2022Q4_tech/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-25-10,81d25963ccf7bea5,65.89,2026-03-11T00:26:09.703976+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2022Q1/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-25-10_001,81d25963ccf7bea5,69.99,2026-03-11T00:26:13.803506+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2023Q2_rand8_1c8e1d3e/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-26-13,81d25963ccf7bea5,55.28,2026-03-11T00:27:04.984182+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2022Q4_rand7_5ec96480/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-26-16,81d25963ccf7bea5,61.41,2026-03-11T00:27:15.217906+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2025Q1_tech/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-27-08,81d25963ccf7bea5,52.52,2026-03-11T00:27:57.510211+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2023Q1_rand9_2aba5c03/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-27-18,81d25963ccf7bea5,54.97,2026-03-11T00:28:10.192971+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2022Q3_rand3_1/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-28-13,81d25963ccf7bea5,55.74,2026-03-11T00:29:05.933231+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2023Q2/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-28-00,81d25963ccf7bea5,69.07,2026-03-11T00:29:06.583640+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2021Q4/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-29-17_001,81d25963ccf7bea5,73.0,2026-03-11T00:30:19.585699+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/scenario_2025Q2/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-29-17,81d25963ccf7bea5,91.51,2026-03-11T00:30:37.449495+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario,logging/runs/default/run_2026-03-10_17-41-12,81d25963ccf7bea5,70.05,2026-03-11T00:42:19.493721+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_001,logging/runs/default/run_2026-03-10_17-42-22,81d25963ccf7bea5,58.67,2026-03-11T00:43:18.169228+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_002,logging/runs/default/run_2026-03-10_17-43-24,81d25963ccf7bea5,89.34,2026-03-11T00:44:47.511184+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_003,logging/runs/default/run_2026-03-10_17-44-50,81d25963ccf7bea5,61.51,2026-03-11T00:45:49.025483+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_004,logging/runs/default/run_2026-03-10_17-45-52,81d25963ccf7bea5,81.99,2026-03-11T00:47:11.021939+00:00,
config/scenarios/baseline_sweep/scenario_2022Q2_rand8_5195513f.yaml,3ecf4d6a2bec151c,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_005,logging/runs/default/run_2026-03-10_17-47-14,81d25963ccf7bea5,63.78,2026-03-11T00:48:14.803591+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_2.yaml,264d4a6fc5c7fa68,results/scenario_runs/vote_causal_no_macro_causal_out_fix_scenario/vote_causal_no_macro_causal_out_fix_scenario_006,logging/runs/default/run_2026-03-10_17-48-18,81d25963ccf7bea5,62.13,2026-03-11T00:49:16.937744+00:00,
