scenario,scenario_hash,results_dir,log_dir,config_hash,duration_seconds,timestamp,error
config/scenarios/baseline_sweep/scenario_2022Q4_tech.yaml,66019ef40840194a,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_031,logging/runs/default/run_2026-03-08_13-56-46,5b72cd466a22753f,42.13,2026-03-08T20:57:24.816835+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1.yaml,af2303d248213247,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_032,logging/runs/default/run_2026-03-08_13-57-32,5b72cd466a22753f,69.13,2026-03-08T20:58:33.947833+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand8_1c8e1d3e.yaml,8c34fcd7e6f2dbf8,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_033,logging/runs/default/run_2026-03-08_13-58-38,5b72cd466a22753f,39.58,2026-03-08T20:59:13.529987+00:00,
config/scenarios/baseline_sweep/scenario_2022Q4_rand7_5ec96480.yaml,e122aa2a398dcb03,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_041,logging/runs/default/run_2026-03-08_14-40-40,5b72cd466a22753f,70.12,2026-03-08T21:41:46.065481+00:00,
config/scenarios/baseline_sweep/scenario_2025Q1_tech.yaml,1f152bdcb5afdecd,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_042,logging/runs/default/run_2026-03-08_14-41-51,5b72cd466a22753f,53.21,2026-03-08T21:42:39.280498+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand9_2aba5c03.yaml,b29fac38856c1bd9,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_043,logging/runs/default/run_2026-03-08_14-42-45,5b72cd466a22753f,60.27,2026-03-08T21:43:39.554087+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2.yaml,497400042b3a1d81,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_044,logging/runs/default/run_2026-03-08_14-43-45,5b72cd466a22753f,109.2,2026-03-08T21:45:28.755882+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand3_1.yaml,b6a755ea86c1629b,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_045,logging/runs/default/run_2026-03-08_14-45-37,5b72cd466a22753f,53.03,2026-03-08T21:46:21.793369+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2.yaml,adbc38db98937005,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_046,logging/runs/default/run_2026-03-08_14-46-30,5b72cd466a22753f,111.74,2026-03-08T21:48:13.533640+00:00,
config/scenarios/baseline_sweep/scenario_2021Q4.yaml,e3717740edd376e9,results/scenario_runs/debate_slim_no_macro/debate_slim_no_macro_047,logging/runs/default/run_2026-03-08_14-48-23,5b72cd466a22753f,77.96,2026-03-08T21:49:31.500159+00:00,
config/scenarios/baseline_sweep/scenario_2023Q4_rand7_2.yaml,ea8a331a59724007,results/scenario_runs/debate_slim_no_macro/scenario_2023Q4_rand7_2/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-46-29,5b72cd466a22753f,85.19,2026-03-09T03:47:48.636197+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand3_2.yaml,66ff4fbbcd038e6e,results/scenario_runs/debate_slim_no_macro/scenario_2023Q2_rand3_2/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-46-29,5b72cd466a22753f,93.0,2026-03-09T03:47:56.446629+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1.yaml,e8efedeec1089b87,results/scenario_runs/debate_slim_no_macro/scenario_2023Q1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-47-55,5b72cd466a22753f,78.22,2026-03-09T03:49:06.857846+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_1.yaml,ff9eb3e57cfb26df,results/scenario_runs/debate_slim_no_macro/scenario_2022Q3_rand7_1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-48-06,5b72cd466a22753f,70.7,2026-03-09T03:49:07.150115+00:00,
config/scenarios/baseline_sweep/scenario_2022Q2_rand8_5195513f.yaml,3ecf4d6a2bec151c,results/scenario_runs/debate_slim_no_macro/scenario_2022Q2_rand8_5195513f/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-49-16,5b72cd466a22753f,68.1,2026-03-09T03:50:15.247166+00:00,
config/scenarios/baseline_sweep/scenario_2023Q1_rand7_1.yaml,551ed0c9873b835e,results/scenario_runs/debate_slim_no_macro/scenario_2023Q1_rand7_1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-49-16,5b72cd466a22753f,68.66,2026-03-09T03:50:15.521703+00:00,
config/scenarios/baseline_sweep/scenario_2025Q2_rand12_1.yaml,0e782098f6020024,results/scenario_runs/debate_slim_no_macro/scenario_2025Q2_rand12_1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-50-22,5b72cd466a22753f,63.82,2026-03-09T03:51:19.346422+00:00,
config/scenarios/baseline_sweep/scenario_2022Q3_rand7_2.yaml,264d4a6fc5c7fa68,results/scenario_runs/debate_slim_no_macro/scenario_2022Q3_rand7_2/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-50-22,5b72cd466a22753f,71.26,2026-03-09T03:51:26.514091+00:00,
config/scenarios/baseline_sweep/scenario_2023Q2_rand7_1.yaml,92f5e2fc558c939c,results/scenario_runs/debate_slim_no_macro/scenario_2023Q2_rand7_1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-51-24,5b72cd466a22753f,75.23,2026-03-09T03:52:34.581820+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand4_d6d02e7e.yaml,d15db0e59979d2b1,results/scenario_runs/debate_slim_no_macro/scenario_2022Q1_rand4_d6d02e7e/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-51-36,5b72cd466a22753f,69.58,2026-03-09T03:52:36.091199+00:00,
config/scenarios/baseline_sweep/scenario_2022Q1_rand3_1.yaml,fd0c6c1954688562,results/scenario_runs/debate_slim_no_macro/scenario_2022Q1_rand3_1/debate_slim_no_macro,logging/runs/default/run_2026-03-08_20-52-46,5b72cd466a22753f,87.32,2026-03-09T03:54:01.904978+00:00,
